Hallo,Cześć
Guten Morgen,Dzień dobry
Guten Abend,Dobry wieczór
Gute Nacht,Dobranoc
Auf Wiedersehen,Do widzenia
Bitte,Proszę
Danke,Dziękuję
Entschuldigung,Przepraszam
Ja,Tak
Nein,Nie
Vielleicht,Może
Ich,Ja
Du,Ty
Er,On
Sie, Ona
Es,To
Wir,My
Ihr,Wy
Sie,They, Oni/One
Name,Imię
Freund,Przyjaciel
Freundin,Przyjaciółka
Familie,Rodzina
Haus,Dom
Auto,Samochód
Straße,Ulica
Stadt,Miasto
Land,Kraj
Sprache,Język
Lehrer,Nauczyciel
Schüler,Uczeń
Buch,Książka
Heft,Zeszyt
Stift,Długopis
Tisch,Stół
Stuhl,Krzesło
Fenster,Okno
Tür,Drzwi
Zimmer,Pokój
Bett,Łóżko
Küche,Kuchnia
Bad,Łazienka
Essen,Jedzenie
Trinken,Picie
Wasser,Woda
Brot,Chleb
Milch,Mleko
Käse,Ser
Fleisch,Mięso
Fisch,Ryba
Obst,Owoce
Gemüse,Warzywa
Apfel,Jabłko
Banane,Banan
Orange,Pomarańcza
Traube,Winogrono
Kartoffel,Ziemniak
Tomate,Pomidor
Salat,Sałata
Reis,Ryż
Pasta,Makaron
Schokolade,Czekolada
Zucker,Cukier
Salz,Sól
Pfeffer,Pieprz
Butter,Masło
Eiscreme,Lody
Kaffee,Kawa
Tee,Herbata
Saft,Sok
Bier,Piwo
Wein,Wino
Schule,Szkoła
Universität,Uniwersytet
Arbeit,Praca
Büro,Biuro
Computer,Komputer
Telefon,Telefon
Fernsehen,Telewizja
Radio,Radio
Musik,Muzyka
Film,Film
Buch,Książka
Zeitung,Gazeta
Zeitschrift,Czasopismo
Internet,Internet
Spiel,Gra
Sport,Sport
Fahrrad,Rower
Ball,Piłka
Spielzeug,Zabawka
Baum,Drzewo
Blume,Kwiat
Garten,Ogród
Park,Park
Wald,Las
Berg,Góra
Fluss,Rzeka
See,Jezioro
Meer,Morze
Himmel,Niebo
Sonne,Słońce
Mond,Księżyc
Stern,Gwiazda
Regen,Deszcz
Schnee,Śnieg
Wind,Wiatr
Wetter,Pogoda
Frühling,Wiosna
Sommer,Lato
Herbst,Jesień
Winter,Zima
Tag,Dzień
Nacht,Noc
Stunde,Godzina
Minute,Minuta
Sekunde,Sekunda
Heute,Dzisiaj
Morgen,Jutro
Gestern,Wczoraj
Woche,Tydzień
Monat,Miesiąc
Jahr,Rok
Januar,Styczeń
Februar,Luty
März,Marzec
April,Kwiecień
Mai,Maj
Juni,Czerwiec
Juli,Lipiec
August,Sierpień
September,Wrzesień
Oktober,Październik
November,Listopad
Dezember,Grudzień
Frühstück,Śniadanie
Mittagessen,Obiad
Abendessen,Kolacja
Zuhause,Domu
Freundlich,Przyjazny
Glücklich,Szczęśliwy
Traurig,Smutny
Müde,Zmęczony
Krank,Chory
Stark,Silny
Schwach,Słaby
Alt,Stary
Jung,Młody
Neu,Nowy
Alt (Gegenstand),Stary
Gut,Dobry
Schlecht,Zły
Klein,Mały
Groß,Duży
Heiß,Gorący
Kalt,Zimny
Richtig,Prawidłowy
Falsch,Błędny
Einfach,Prosty
Schwierig,Trudny
Teuer,Drogi
Billig,Tani
Langsam,Wolny
Schnell,Szybki
Schön,Piękny
Hässlich,Brzydki
Schwarz,Czarny
Weiß,Biały
Rot,Czerwony
Blau,Niebieski
Grün,Zielony
Gelb,Żółty
Braun,Brązowy
Rosa,Różowy
Lila,Fioletowy
